Nº;ITEM;UNIDADE;VALOR/UNIDADE;;;
1;ABACATE;KG;10,00;;TUDO PODE SER ALTERADO;
2;ABACAXI;KG;8,00;;;
3;ABOBORA;KG;6,00;;;
4;ABOBRINHA;KG;5,00;;;
5;acafrao;KG;55,00;;;
6;AÇAI;KG;20,00;;;
7;ACELGA;UM;2,50;;;
8;ACELGA;ML;2,50;;;
9;ACEROLA;KG;5,00;;;
10;AGRIAO;ML;2,50;;;
11;AIPIM;KG;6,00;;;
12;AL CACHADO;ML;2,50;;;
13;ALECRIM;UND.;3,00;;;
14;ALFACE AMERICANA;ML;2,50;;;
15;ALFACE CRESPO;PC;2,50;;;
16;ALFACE LISO;ML;2,50;;;
17;ALFACE ROXA;ML;2,50;;;
18;ALFAVACA;UND.;2,50;;;
19;ALHO PORÓ;UND.;5,00;; ;
20;AMENDOIM COZIDO;KG;6,00;;;
21;BANANA  DA TERRA ;KG;10,00;;;
22;BANANA D'ÁGUA;KG;2,00;;;
23;BANANA MAÇA;KG;10,00;;;
24;BANANA PÃO;KG;7,00;;;
25;BANANA PRATA;KG;7,00;;;
26;BATATA AMARELA;KG;7,00;;;
27;BATATA BRACA;KG;6,00;;;
28;BATATA POLPA ROXA;KG;8,00;;;
29;BATATA ROXA;KG;6,00;;;
30;BERINJELA;KG;7,00;;;
31;BERINJELA MARRON;KG;6,00;;;
32;BERTALHA;UND.;5,00;;;
33;BETERRABA;KG;8,00;;;
34;BETERRABA NO MOLHO;ML;4,00;;;
35;BOLDO;UND.;3,00;;;
36;BRÓCOLIS;UND.;13,00;;;
37;CAJARANA;KG;5,00;;;
38;CANUDINHO;UND.;3,00;;;
39;CAPIM LIMÃO;ML;3,00;;;
40;CAPIM SANTO;UND.;3,00;;;
41;CAQUI;KG;13,00;;;
42;CAXIXE;KG;6,00;;;
43;CEBOLA;KG;13,00;;;
44;CEBOLA  CIGANINHA;KG;12,00;;;
45;CEBOLA ML;UND.;5,00;;;
46;CEBOLINHA;PC;2,00;;;
47;CENOURA;KG;8,50;;;
48;CENOURA COM FOLHAS;ML;4,00;;;
49;CHAS;UND.;6,00;;;
50;CHEIRO VERDE;KG;23,00;;;
